Age,Gender,Province,Education,Count,cell
25 to 34,Male,Newfoundland and Labrador,No certificate,2615,Male 25 to 34
25 to 34,Male,Newfoundland and Labrador,High school,6440,Male 25 to 34
25 to 34,Male,Newfoundland and Labrador,College,7030,Male 25 to 34
25 to 34,Male,Newfoundland and Labrador,Some university,645,Male 25 to 34
25 to 34,Male,Newfoundland and Labrador,Bachelor's degree or above,5800,Male 25 to 34
25 to 34,Female,Newfoundland and Labrador,No certificate,1970,Female 25 to 34
25 to 34,Female,Newfoundland and Labrador,High school,6345,Female 25 to 34
25 to 34,Female,Newfoundland and Labrador,College,8910,Female 25 to 34
25 to 34,Female,Newfoundland and Labrador,Some university,620,Female 25 to 34
25 to 34,Female,Newfoundland and Labrador,Bachelor's degree or above,9910,Female 25 to 34
35 to 44,Male,Newfoundland and Labrador,No certificate,3895,Male 35 to 44
35 to 44,Male,Newfoundland and Labrador,High school,6425,Male 35 to 44
35 to 44,Male,Newfoundland and Labrador,College,8905,Male 35 to 44
35 to 44,Male,Newfoundland and Labrador,Some university,670,Male 35 to 44
35 to 44,Male,Newfoundland and Labrador,Bachelor's degree or above,5900,Male 35 to 44
35 to 44,Female,Newfoundland and Labrador,No certificate,2715,Female 35 to 44
35 to 44,Female,Newfoundland and Labrador,High school,6830,Female 35 to 44
35 to 44,Female,Newfoundland and Labrador,College,12360,Female 35 to 44
35 to 44,Female,Newfoundland and Labrador,Some university,820,Female 35 to 44
35 to 44,Female,Newfoundland and Labrador,Bachelor's degree or above,9095,Female 35 to 44
45 to 54,Male,Newfoundland and Labrador,No certificate,7610,Male 45 to 54
45 to 54,Male,Newfoundland and Labrador,High school,7990,Male 45 to 54
45 to 54,Male,Newfoundland and Labrador,College,10075,Male 45 to 54
45 to 54,Male,Newfoundland and Labrador,Some university,780,Male 45 to 54
45 to 54,Male,Newfoundland and Labrador,Bachelor's degree or above,5250,Male 45 to 54
45 to 54,Female,Newfoundland and Labrador,No certificate,6335,Female 45 to 54
45 to 54,Female,Newfoundland and Labrador,High school,9535,Female 45 to 54
45 to 54,Female,Newfoundland and Labrador,College,14655,Female 45 to 54
45 to 54,Female,Newfoundland and Labrador,Some university,1065,Female 45 to 54
45 to 54,Female,Newfoundland and Labrador,Bachelor's degree or above,7160,Female 45 to 54
55 to 64,Male,Newfoundland and Labrador,No certificate,9845,Male 55 to 64
55 to 64,Male,Newfoundland and Labrador,High school,9445,Male 55 to 64
55 to 64,Male,Newfoundland and Labrador,College,8170,Male 55 to 64
55 to 64,Male,Newfoundland and Labrador,Some university,875,Male 55 to 64
55 to 64,Male,Newfoundland and Labrador,Bachelor's degree or above,4805,Male 55 to 64
55 to 64,Female,Newfoundland and Labrador,No certificate,10175,Female 55 to 64
55 to 64,Female,Newfoundland and Labrador,High school,12195,Female 55 to 64
55 to 64,Female,Newfoundland and Labrador,College,11855,Female 55 to 64
55 to 64,Female,Newfoundland and Labrador,Some university,1205,Female 55 to 64
55 to 64,Female,Newfoundland and Labrador,Bachelor's degree or above,4860,Female 55 to 64
25 to 34,Male,Prince Edward Island,No certificate,590,Male 25 to 34
25 to 34,Male,Prince Edward Island,High school,2450,Male 25 to 34
25 to 34,Male,Prince Edward Island,College,1685,Male 25 to 34
25 to 34,Male,Prince Edward Island,Some university,105,Male 25 to 34
