Age,Gender,Province,Education,Vote_choice,cell
55 to 64,Female,Quebec,College,Liberal Party,Female 55 to 64
55 to 64,Male,British Columbia,Bachelor's degree or above,Conservative Party,Male 55 to 64
55 to 64,Female,Ontario,High school,Liberal Party,Female 55 to 64
25 to 34,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 25 to 34
55 to 64,Female,Saskatchewan,High school,Conservative Party,Female 55 to 64
35 to 44,Male,Quebec,Some university,Conservative Party,Male 35 to 44
55 to 64,Male,Ontario,Bachelor's degree or above,Conservative Party,Male 55 to 64
35 to 44,Male,Alberta,Bachelor's degree or above,Liberal Party,Male 35 to 44
25 to 34,Male,Ontario,Bachelor's degree or above,Liberal Party,Male 25 to 34
55 to 64,Male,Ontario,Bachelor's degree or above,Liberal Party,Male 55 to 64
25 to 34,Male,Ontario,College,Liberal Party,Male 25 to 34
45 to 54,Male,Ontario,Bachelor's degree or above,Conservative Party,Male 45 to 54
25 to 34,Male,Ontario,Bachelor's degree or above,Liberal Party,Male 25 to 34
55 to 64,Male,Quebec,High school,Conservative Party,Male 55 to 64
45 to 54,Female,Alberta,College,Conservative Party,Female 45 to 54
55 to 64,Female,Manitoba,Bachelor's degree or above,Liberal Party,Female 55 to 64
55 to 64,Female,Newfoundland and Labrador,College,Conservative Party,Female 55 to 64
45 to 54,Male,Alberta,Bachelor's degree or above,Liberal Party,Male 45 to 54
55 to 64,Male,Quebec,Bachelor's degree or above,Conservative Party,Male 55 to 64
55 to 64,Male,Saskatchewan,Bachelor's degree or above,Conservative Party,Male 55 to 64
35 to 44,Female,Ontario,Bachelor's degree or above,Conservative Party,Female 35 to 44
55 to 64,Male,Quebec,Bachelor's degree or above,Conservative Party,Male 55 to 64
25 to 34,Male,Ontario,Bachelor's degree or above,Liberal Party,Male 25 to 34
55 to 64,Male,Ontario,Some university,Liberal Party,Male 55 to 64
55 to 64,Male,Alberta,Bachelor's degree or above,Conservative Party,Male 55 to 64
25 to 34,Female,Quebec,Bachelor's degree or above,Conservative Party,Female 25 to 34
45 to 54,Female,Quebec,College,Liberal Party,Female 45 to 54
55 to 64,Female,Ontario,High school,Conservative Party,Female 55 to 64
45 to 54,Male,Nova Scotia,Bachelor's degree or above,Conservative Party,Male 45 to 54
45 to 54,Female,Ontario,Bachelor's degree or above,Liberal Party,Female 45 to 54
35 to 44,Female,Manitoba,College,Liberal Party,Female 35 to 44
25 to 34,Female,Alberta,Bachelor's degree or above,Conservative Party,Female 25 to 34
45 to 54,Female,Quebec,High school,Liberal Party,Female 45 to 54
45 to 54,Female,Ontario,High school,Liberal Party,Female 45 to 54
25 to 34,Female,Quebec,Bachelor's degree or above,Liberal Party,Female 25 to 34
35 to 44,Female,Ontario,College,Liberal Party,Female 35 to 44
25 to 34,Male,New Brunswick,Bachelor's degree or above,Liberal Party,Male 25 to 34
55 to 64,Male,Alberta,Bachelor's degree or above,Conservative Party,Male 55 to 64
